Company Name,Industry,Symbol,Series,ISIN Code,mcURL
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,EQ,INE647O01011,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE647O01011
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE540L01014
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,EQ,INE079A01024,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE079A01024
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,EQ,INE437A01024,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE437A01024
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE208A01029
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE021A01026
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE406A01037
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,EQ,INE192R01011,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE192R01011
Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE238A01034
